pid,nameAttested,nameTransliterated,bbox,id,reprLat,reprLong,timePeriods,timePeriodsKeys,minDate,maxDate,geometry,featureType
/places/108724,NULL,Abnobaia Ore,"8.0, 48.0, 9.0, 49.0",undetermined,48.500000000000000000000000000000,8.500000000000000000000000000000,R,roman,-30,300,"{""type"": ""Polygon"", ""coordinates"": [[[8.0, 48.0], [8.0, 49.0], [9.0, 49.0], [9.0, 48.0], [8.0, 48.0]]]}",unknown
/places/108724,NULL,Abnoba Ore,"8.0, 48.0, 9.0, 49.0",abnoba-ore,48.500000000000000000000000000000,8.500000000000000000000000000000,R,roman,-30,300,"{""type"": ""Polygon"", ""coordinates"": [[[8.0, 48.0], [8.0, 49.0], [9.0, 49.0], [9.0, 48.0], [8.0, 48.0]]]}",unknown
/places/108724,NULL,Abnoba Ore,"8.0, 48.0, 9.0, 49.0",undetermined,48.500000000000000000000000000000,8.500000000000000000000000000000,R,roman,-30,300,"{""type"": ""Polygon"", ""coordinates"": [[[8.0, 48.0], [8.0, 49.0], [9.0, 49.0], [9.0, 48.0], [8.0, 48.0]]]}",unknown
/places/108725,Addvodecimvm,Ad Duodecimum,NULL,ad-duodecimum,NULL,NULL,RL,"roman,late-antique",-30,640,"{""type"": ""Point"", ""coordinates"": [6.389796, 48.888911]}",unknown
/places/108725,Addvodecimvm,Ad Duodecimum,NULL,center-point-of-commune-delme,NULL,NULL,RL,"roman,late-antique",-30,640,"{""type"": ""Point"", ""coordinates"": [6.389796, 48.888911]}",unknown
/places/108726,NULL,Ad Fines,NULL,ad-fines,NULL,NULL,RL,"roman,late-antique",-30,640,"{""type"": ""Point"", ""coordinates"": [3.680304, 49.307323]}",unknown
/places/108726,NULL,Ad Fines,NULL,center-point-of-commune-fismes,NULL,NULL,RL,"roman,late-antique",-30,640,"{""type"": ""Point"", ""coordinates"": [3.680304, 49.307323]}",unknown
/places/108727,NULL,Ad Lullia,"1.875577, 50.331819, 1.875621, 50.331821",ad-lullia,50.331820000000000000000000000000,1.875599000000000000000000000000,RL,"roman,late-antique",-30,640,"{""type"": ""Point"", ""coordinates"": [1.875577, 50.331819]}",unknown
/places/108727,NULL,Ad Lullia,"1.875577, 50.331819, 1.875621, 50.331821",darmc-location-2747,50.331820000000000000000000000000,1.875599000000000000000000000000,RL,"roman,late-antique",-30,640,"{""type"": ""Point"", ""coordinates"": [1.875577, 50.331819]}",unknown
/places/108727,NULL,Ad Lullia,"1.875577, 50.331819, 1.875621, 50.331821",ad-lullia,50.331820000000000000000000000000,1.875599000000000000000000000000,RL,"roman,late-antique",-30,640,"{""type"": ""Point"", ""coordinates"": [1.875621, 50.331821]}",unknown
/places/108727,NULL,Ad Lullia,"1.875577, 50.331819, 1.875621, 50.331821",darmc-location-2748,50.331820000000000000000000000000,1.875599000000000000000000000000,RL,"roman,late-antique",-30,640,"{""type"": ""Point"", ""coordinates"": [1.875621, 50.331821]}",unknown
/places/108728,NULL,Aduatuci,"4.0, 50.0, 5.0, 51.0",aduatuci,50.500000000000000000000000000000,4.500000000000000000000000000000,HRL,"hellenistic-republican,roman,late-antique",-330,640,"{""type"": ""Polygon"", ""coordinates"": [[[4.0, 50.0], [4.0, 51.0], [5.0, 51.0], [5.0, 50.0], [4.0, 50.0]]]}",unknown
/places/108728,NULL,Aduatuci,"4.0, 50.0, 5.0, 51.0",undetermined,50.500000000000000000000000000000,4.500000000000000000000000000000,HRL,"hellenistic-republican,roman,late-antique",-330,640,"{""type"": ""Polygon"", ""coordinates"": [[[4.0, 50.0], [4.0, 51.0], [5.0, 51.0], [5.0, 50.0], [4.0, 50.0]]]}",unknown
/places/108729,NULL,Agedincum,"3.284003, 48.197748, 3.287168, 48.198029",agedincum,48.197888500000000000000000000000,3.285585500000000000000000000000,HRL,"hellenistic-republican,roman,late-antique",-330,640,"{""type"": ""Point"", ""coordinates"": [3.287168, 48.197748]}",unknown
